schoolName,email
"DATATRAY PR.SCHOOL","shreedattatreyschool@gmail.com"
"SHRI ADARSH U. M. SHALA","akshar.sankul@gmail.com"
"VISHVESWAR VIDHYALAY","vishveshvarschool2020@gmail.com"
"SHREE MURLIDHAR VIDHYALAY","murlidharvidhyalay@gmail.com"
"SHREE NIRMALA VIDHYALAY","k.s.moliya771@gmail.com"
"SHREE OM VIDHYAMANDIR","omvidhyamandir@gmail.com"
"SHREE MADHUVAN SHAIKSHANIK SANKUL","madhuvanschool2012@gmail.com"
"SHRI SARASVATI PRATHMIK SHALA RAJKOT","jdbhakhar.rajkot3@gmail.com"
"SHRI RAJMANDIR MADHYAMIK SHALA","shrirajmandirmadhyamikshala@gmail.com"
"SHRI GAJANAND PRIMARY SCHOOL","shreegajanandprimaryschool@gmail.com"
"SHREE VIKAS PRA. SCHOOL","mmpatelschool83@gmail.com"
"SHAKTI HIGHER SECONDARY SCHOOL","shaktihsschool@gmail.com"
"SHRI RAMKRUSHNA VIDHYALAY","ramkrushnavidhyalaya123@gmail.com"
"SATELLITE SCHOOL","satelliteschool2013@gmail.com"
"SHREE KUMAR VIDHYA MANDIR","shreekumarvidhyamandir@gmail.com"
"SARASWATI PRATHMIK VIDHYAMANDIR","rdeossmrkt@gmail.com"
"SHRI YOGESHWAR VIDYAMANDIR","mhpatelhighschool@gmail.com"
"SHREE JAY HIND VIDHYALAY","jayhindvidh@gmail.com"
"MAZHAR VIDHAYALAY","mazharkanya@gmail.com"
"JAYHIND MADHYAMIK SHALA","jayhindschool107@gmail.com"
"JAWAHAR UCHCHATAR MADHYAMIK VIDYALAYA","tagoreschool81@gmail.com"
"NALANDA PR.SCHOOL","nalandap1975@gmail.com"
"APNI SHALA","apanishalarajkot@gmail.com"
"MEHUL PR.SCHOOL","mprimary1979@gmail.com"
"PANCHSHIL VIDHYALAY","panchshilschool24@gmail.com"
"SHREE PARTH VIDYALAYA","parthvidyalaya.rjt@gmail.com"
"SHREE VINAYAK VIDYAMANDIR","mayurig793@gmail.com"
"PARAMHANSH PR.SCHOOL","paramhansh91@gmail.com"
"BHARTIYA VIDHYAMANDIR","manshukhpatadiya@gmail.com"
"SHRI SAIBABA VIDHYA MANDIR","ssvidyamandirrajkot@gmail.com"
"SHRI ASHAPURA VIDHYA MANDIR","ashapuravidyamandirrajkot@gmail.com"
"KRISHNA ENGLISH MEDIUM SCHOOL","krensschool@gmail.com"
"SHRI MEHUL VIDHYALAYA","mvidhyalay1979@gmail.com"
"MANGAL MURTI VIDHYA MANDIR","mangalmurtividhyamandir7@gmail.com"
"SHRI SANSKAR VIDHYA MANDIR","bharatbhatt135@gmail.com"
"SHRI BHUSHAN H. S. SCHOOL (COMMERCE)","bhsrajkot@gmail.com"
"LITTLE STAR ENGLISH SCHOOL","littlestarrajkot@yahoo.com"
"ILMALAY PRIMARY SCHOOL","schoolilmalay@gmail.com"
"MARUTI MOTHERLAND HIGH SCHOOL (H.S.)","mms.sankul@gmail.com"
"PARIMAL VIDHYAVIHAR","parimalv2002@gmail.com"
"SAINT MIRA MEDIUM ENGLISH","stmiraschool9@gmail.com"
"BLOSSOM KINDER-GARTEN & PRIMARY SCHOOL","blossomkgprischool@gmail.com"
"POLE STAR PRIMARY SCHOOL","polestarp2005@gmail.com"
"FLORA ENGLISH MEDIUM SCHOOL","femsedu@gmail.com"
"SARDAMANI VIDYAMANDIR","shardamanividyamandir@gmail.com"
"SHREE CHANAKIYA VIDYALAY","harshpedhadiya006@gmail.com"
"SHREE SARDAMANDIR VIDYALAY","shardamandirschoolrajkot@gmail.com"
"SHREE PRATIK VIDHYA MANDIR / SCHOOL","pratikschoolrajkot3@gmail.com"
"SHREE P.B. PATEL VIDHYALAYA","pbpateledu@gmail.com"
"NACHIKETA VIDHYALAYA","jdbhakhar.rajkot8@gmail.com"
"SHRI MURLIDHAR VIDHYALAY (PRIMARY)","murlidharvidyalaya123@gmail.com"
"B. K. ENGLISH SCHOOL","bkschoolrajkot@gmail.com"
"SHRI SHIV SHAKTI VIDHYAMANDIR","shivshaktischoolrajkot@gmail.com"
"DR. D N M VIDHAYALAY","kdrathod302@gmail.com"
"MARUTI VIDHYAMANDIR","mms.sankul@yahoo.com"
"SHREE PRAGATY VIDHYALAY","shreepragatatyvidhyalay2000@gmail.com"
"NOBALSAIKASHANIK SANKUL","nobleschool@gmail.com"
"STAR KIDS INTERNATIONAL SCHOOL","starkidsisedu@gmail.com"
"SUNFLOWER SCHOOL","sunf.sk1@gmail.com"
"NOBLE SEC. AND HIGHER SEC. SCHOOL","nobleschoolrk@gmail.com"
"GAUTAM VIDHYALAY","rajkot@bharadschools.org"
