schoolName,email
"SHREE BHAGYODAY VIDHYAMANDIR VADODAR","bhagyodayschoolvadodar@gmail.com"
"VEDANT VIDHYA BHAVAN","vedantvidhyabhavan@gmail.com"
"SARASVATI VIDHYALAY BHUTVAD","shreesaraswatiprimaryschool@gmail.com"
"DREAM INTERNATIONAL SEC. ENG. SCHOOL DHORAJI","dis.dhoraji@gmail.com"
"SHREE SWAMINARAYAN VIDHYAPEETH GUJARATI","swaminarayangujarati@gmail.com"
"N.H. NIMAVAT ENG PRI SCHOOL KALANA","nimavatschool@gmail.com"
"ALPHA ENGLISH SCHOOL","alphaschoolmotimarad1@gmail.com"
"GYAN JYOT ENGLISH SCHOOL PATANVAV","omshantifamily28@gmail.com"
"SRI M Z VASA PRIMARY SCHOOL PATANVAV","mzspvpatanvav344@gmail.com"
"SMT. L.N. GOVANI PRI SCHOOL","principal24090102505@ssguj.in"
"ROYAL GIRLS SCHOOL DHORAJI","royalgirlsschool@yahoo.in"
"MUSLIM HIGH SCHOOL DHORAJI","mmschooldhoraji@yahoo.com"
"ROYAL GIRLS UPPAR PRIMARY SCHOOL DHORAJI","royalgirlsschooldhoraji@gmail.com"
"DRONA INTERNATIONAL SCHOOL (EM)","surani.rajendra@gmail.com"
"CRYSTAL ACADEMY SCHOOL DHORAJI","crystalacademy78@gmail.com"
"MADRESA-A-RONAKE ISLAM SCHOOL DHORAJI","rownakschoolprimary@gmail.com"
"MADRESA-A-ANVARUL ISLAM SCHOOL DHORAJI","madresaanwarulgirlsschool@gmail.com"
"MADRESA-A-FAZULE ISLAM SCHOOL DHORAJI","jenabbenkhalifa@gmail.com"
"SHREE K.O. SHAH SCHOOL OF COMMERCE","aesdhoraji@gmail.com"
"SARASVATI PRIMARY SCHOOL DHORAJI","rvstrustdhoraji@yahoo.in"
"ARJUN VIDHYA MANDIR DHORAJI","arjun.vidhyalay.dhoraji@gmail.com"
"APURVA ENGLISH SCHOOL DHORAJI","apurva.school@yahoo.com"
"NEW BEST ENGLISH SCHOOL (GM)","nbeschool19@gmail.com"
"SRI PATEL VIDHYA MANDIR DHORAJI","patelprimary47@gmail.com"
"PRAGNA ENGLISH SCHOOL DHORAJI","pragna9427@gmail.com"
"SRI SARVODAY VIDHYA PRIMARY SCHOOL","sarvodayschool24@gmail.com"
"SHREE NACHIKETA SECONDARY SCHOOL DHORAJI","nachiketaschool1@gmail.com"
"UNIQUE SCHOOL OF SCIENCE (SEC)","uniqueschool2008@gmail.com"
"MARUTI VIDHYALAY DHORAJI","principal24090101049@ssguj.in"
"M M SCHOOL DHORAJI","mmschoolprimarygujaratimedium@gmail.com"
"ARJUN VIDYALAY DHORAJI","arjunvidyalay.dhoraji@gmail.com"
"SANDIPANI PRIMARY SCHOOL OF EXCELLENCE DHORAJI","sandipanisvs@gmail.com"
"SHREE CHANKYA VIDYALAY DHORAJI","chanakyasecondaryschooldhoraji@gmail.com"
"ALFRED HIGH SCHOOL DHORAJI","principal24090101069@ssguj.in"
"ROYAL HIGHER SECONDARY SCHOOL DHORAJI","royalschooldhoraji@yahoo.com"
"ANKUR PRI SCHOOL DHORAJI","apexcomputer5363@gmail.com"
"SHREE BHAGYODAY PRI SHALA DHORAJI","shreebhagyodayschool@gmail.com"
