schoolName,email
"SHREE AURO PRI. SCHOOL","auroschool1@gmail.com"
"SHREE AURO MADHY. & U.MADHY.SHALA","virdiarishikesh@gmail.com"
"SHREE GANGOTRI ENGLISH MEDIUM SCHOOL","gangotrischool@gmail.com"
"PARISHRAM PRIMARY SCHOOL","parishramsankuledu@gmail.com"
"L.SHREE K.M. AVASIA H.S.C. SCHOOL","kmahighervidhyamandir@gmail.com"
"B A P S SWAMINARAYAN VIDHYAMANDIR PRIMARY","bapssvmgondal@yahoo.com"
"SHREE M. P. S. HIGH SECO. SCHOOL","shreemps22195@gmail.com"
"SHRIJI PRI. SCHOOL","shreemps221925@gmail.com"
"AMBARAM PRATHAMIK SHALA","ambaramshala@gmail.com"
"NAVVIDHAN ENGLISH SCHOOL","navvidhan@gmail.com"
"SHRI DASIJIVAN MEDIUM ENGLISH SCHOOL","sdjschool2009@gmail.com"
"MARKAZ PUBLIC SCHOOL","mpsgondal@gmail.com"
"B A P S SWAMINARAYAN VIDHYAMANDIR UPPER PRIMARY","gondalgurukul@gmail.com"
"MAHARANI SHRI RAJKUVRBA KANYA VIDHYALAY ENG MED","mrajkuvarbaedutrust@yahoo.com"
"AVANTIKA SCHOOL (ENGLISH)","avantikaschoolgondal@gmail.com"
"SMT. UJIBEN LAVJIBHAI DHADUK KANYA VIDHYALAYA(UPV)","uldkanyavidyalay@gmail.com"
"B A P S SWAMINARAYAN VIDHYAMANDIR UP. PRIMARY (ENGLISH)","adminsvmgdl3@baps.edu.in"
"DHOLAKIYA INTERNATIONAL SCHOOL","dis.gondal@gmail.com"
"B.A.P.S. SWAMINARAYAN VIDYAMANDIR SEC AND HIGHER SEC GIRLS SCHOOL","admin.svmgdl@baps.edu.in"
"EKLAVYA ENGLISH MEDIUM SCHOOL","eklavyavidhyasankul2020@gmail.com"
"BAPS SWAMINARAYAN VIDYAMANDIR-UNIT-2 (UPPER PRIMARY SCHOOL) GUJ. MED.","admin.svmgdl7@baps.edu.in"
"SHREE NALNDA ENG. MED. SCHOOL","nalandavidhyalay@yahoo.com"
"SHREE BALUBHAI HARJIBHAI PATEL VIDHYALAY","principal24090201107@ssguj.in"
