schoolName,email
"JASDAN PUBLIC SCHOOL","jasdanpublicschool@gmail.com"
"JIVANSHALA AMBARDI(JAM)","dmjoshi51000@gmail.com"
"SHRI LIMBABHAI HARJIBHAI RAMANI ENGLISH MEDIUM PRIMARY SCHOOL","na@gmail.com"
"SHREE NAVYUG VIDHYALAY","navyugschool222@gmail.com"
"PRESIDENT ENGLISH SCHOOL","spvscampus@gmail.com"
"SHREEJI ENGLISH MEDIUM SCHOOL","shreejischool199@gmail.com"
"NILKANTH INTERNATIONAL SCHOOL","sgurukulsankali@gmail.com"
"SHREE NARAYAN VIDHYALAY","sunilshilu1975@gmail.com"
"SARDAR VALLABH BHAI PATEL PRIMARY SCHOOL","pramitkothari@gmail.com"
"ADARSH PRIMARY SCHOOL","principal24090500703@ssguj.in"
"SHREE AARUNI SHAIKSHANIK SANKUL","aarunischool@gmail.com"
"ADRASH PRATHAMIK SHALA","adarshschool148@gmail.com"
"SHRI BHOJALRAM VIDHYALAY","bhojalram.vidyalay@gmail.com"
"SHREE NAVKAR ENGLISH SCHOOL KHARACHIYA","principal24090502302@ssguj.in"
"SHREE DHARMJIVAN PRIMARY SCHOOL","anjalisdvs11@gmail.com"
"SHREE SANSKAR VIDHYALAY","sanskarvidyaly12@gmail.com"
"MATUSHREE MONGHIBA PRIMARY SCHOOL","virpur.mmps@gmail.com"
"SHREE VIVEKANAND VIDYALAY","vivekanand.vidhyalay111@gmail.com"
"SHRI PRERANA PRIMARY SCHOOL","sjoshi475@gmail.com"
"SARVODAY VIDHYALAY","pdcampusjlr@gmail.com"
"SHREE SATYAM KANYA VIDYALAY","shrisatyamschool@gmail.com"
"SHREE JETALSAR HIGH SCHOOL","jlr.highschoolhs@gmail.com"
"SHREE VIVEKANAND VIDYALAY","vivekandschool07@gmail.com"
"SHREE GYANGANGA VIDYALAY","kathiriyamanishaben@gmail.com"
"SUNFLOWER ENGLISH SCHOOL","sunfloweracademi@gmail.com"
"SHREE NIRMAL VIDYA MANDIR HIRE SEC","kalpeshkargathara11@gmail.com"
"DHAVAL JUNIOUR SCIENCE COLLEGE","djscpdlscience@gmail.com"
"DHAVAL STRAED WORLD SCHOOL ACADEMY","info@dhavalacademy.org"
"DARSH VIDYALAY","samir_gosai@yahoo.com"
"HET PRIMARY SCHOOL","absarvaiya@rediffmail.com"
"SHREE KASHTBHANJANDEV ENGLISH MEDIUM SCHOOL","shriharikrushnavidhyalay@gmail.com"
"NACHIKETA PRIMARY SCHOOL","mjpatel.raiyaraj@gmail.com"
"SHREE AARUNI SHAIKSHNIK SEC SANKUL","aaruni_school@yahoo.in"
"SMT MATUSHI S.J.KORAT PRI.SCHO","sjkoratschool@gmail.com"
"MALVIYA VIDHALAY","dineshhmalaviya6762@gmail.com"
"SHREE AVADH VIDHALAY","hiteshraval70@gmail.com"
"SHREE SARVODAY VIDHYALAY","sarvodayvidhyalaynavagadh@gmail.com"
"SHREE GAYARTI VIDHAMANDIR","vrchhotala@gmail.com"
"SHREE AVDHESH PRI.SCHOOL","jabirlulaniya30@gmail.com"
"SHREE NAVCHETAN VIDHALAY","jbvyash67@gmail.com"
"NEW VIVEKANAND ENG. PRI SCHOOL","newvivekanandengschoo@gmail.com"
"BHARTIYA VIDHYAMANDIR","bakul.joshi@rediffmail.com"
"SHREE SWAMI NARAYAN VIDHALAY","navjivan_12120@yahoo.in"
"PANDYA PRIMARY SCHOOL","pandyaschool@yahoo.com"
"LITTLE FLOWER ENGLISH MEDIUM","chanakya2024@yahoo.com"
"ALPHA ENGLISH SCHOOL","gauravlakhani3555@gmail.com"
"SHREE SAHJANAND SWAMI SCHOOL","shreesahajanandvidhyalaynavaga@gmail.com"
"SHREE SARASWATI MADHYAMIK VIDYAMANDIR","shishumandirjetpur21@gmail.com"
"OMKAR VIDHYALAY PRIMARY SCHOOL","omkarvidhalay212@gmail.com"
"GYNA JYOT VIDHYALAY PRIMARY SC","hsjoshi5@gmail.com"
"SAINT MIRA PRIMARY SCHOOL","saintmiraschool53@gmail.com"
"SAINT FRANCIS SCHOOL HIRE S.","st.francis.navagadh@gmail.com"
"AKSHARDIP PRI.SCHOOL","sandeepkanjariya@gmail.com"
"NAVODAY VIDHYA MANDIR","navodayvidhyamandir@gmail.com"
"SHREE SWAMI NARAYAN KANYA VIDYALAY","bhuvarakesh83@gmail.com"
"NAVJIVAN VIDHYALAY","navjivan_1212@yahoo.in"
"HIMANI SCHOOL JETPUR","chabhadiahighschool@gmail.com"
"WELCOME PRIMARY SCHOOL","chankay2024@yahoo.com"
"SHRI SIDDHI VINAYAK","bhaveshmaheta4@gmail.com"
"JAYDEV PRIMARY SCHOOL","mihirgosai1984@gmail.com"
"SHREE GANGOTRI VIDYALAY","bhayanipiyush67@gmail.com"
"SHREEJI VIDYALAY-JETPUR","shreejividyalaya@gmail.com"
"JETPUR ACADEMY","jetpuracademy@gmail.com"
"SHREE NAVKAR SECONDARY SCHOOL","navkarsecondaryschool@gmail.com"
"OJAS INTERNATIONAL SCHOOL","oisjetpur@gmail.com"
"HET PRIMARY SCHOOL","hetprimaryschool@gmail.com"
"NILKANTH SECONDARY SCHOOL","sgurukulsankli@gmail.com"
"SHREE SARDAR PATEL KANYA VIDYALAY","spkm.jetpur@gmail.com"
"SHREEJI VINAY MANDIR","shreejivinaymandir@gmail.com"
"SHREE VIVEKANAND E. HIGH SCHOOL","vivekanandengjetpur@gmail.com"
"SPACE ENGLISH MEDIUM SCHOOL","spacecampusjtp@rediffmail.com"
"SHREE SAHAJANAND VIDYALAY","sahajanandvidhyalayanavagadh@gmail.com"
"A SUCCESS SCHOOL JETPUR","asuccessschool2011@gmail.com"
"ESCON VIDYALAY-JETPUR","pramodbhaitrada41@gmail.com"
"LATE SHREE J.K.MAHETA PRI. SCHOOL JETPUR","ankvi@gmail.com"
"MATUSHREE SANTABEN J. MAHETA PRI. SCHOOL","ankvi94@gmail.com"
"SARVODAY PRATHAMIK SHALA","sarvodayshala413@gmail.com"
"SHREEJI SECONDARY SCHOOL","shreejivinalmandir@gmail.com"
"SHRI PRANLAL CHHAGANLAL GODA ENGLISH HIGH SCHOOL JETPUR","spcgcampus@gmail.com"
"SPACE ENGLISH MEDIUM SCHOOL (H.S.)","spacegroup.office@gmail.com"
"CHANAKYA MADYAMIK SCHOOL","chanakya1601@gmail.com"
"SHRI SARASWATI PRATHMIK VIDYALAY NAVAGADH","gyandip.edu@gmail.com"
"YELLOW EDUCATION SYSTEM","yellowedusys99@gmail.com"
"ULTRA SCHOOL-JETPUR","shreegnanganga1@gmail.com"
"SHREEJI VINAY MANDIR(ENGLISH MEDIUM)","shreejischool99@gmail.com"
"SHREE SWAMINARAYAN SAIKNIK SANKUL ENGLISH MEDIUN","shaileshkamaliya@gmail.com"
"SHREE SAGUN HIGH SCHOOL & HIGHER SECONDARY SCHOOL","sagunschoolktd@gmail.com"
"SHREE P.N MADHYAMIK AND UCHCHTAR MADHYAMIK SHALA","sardarpatel12@gmail.com"
"SHREE MAYABA PRI SCHOOL","matrushreemayaba@gmail.com"
"SHREE SARVODAY MADHYAMIK SANKUL RAMOD","omedu.computersystem@gmail.com"
"SARDAR SECONDARY VIDHYALAY RAMOD","sardareducationzone@gmail.com"
"SHREE RAMDOOT VIDHYALAY","ramdootschool@gmail.com"
"SRI K.G.VIDHYALAY SHAPAR","niraliyagnik0@gmail.com"
"SHREE SHIV STUTI ENGLISH MEDIUM SCHOOL","shivstutividhyalaya@gmail.com"
"SHREE SAGAR SCHOOL","shreesagarschool@gmail.com"
"SHREE KORAT MADHYAMIK SCHOOL","korat.vidhyalay@gmail.com"
"GYANDIP SHISHU MANDIR","gspvschool@gmail.com"
"JAYSHREE GUJARATI MADHYMIK SHALA","kaustubmishra37@gmail.com"
"TIRUPATI VIDHYALAY","tirupatividhyalay4410@gmail.com"
"MA SHARDA UCHATAR MADHYAMIK SHALA","msv14213@gmail.com"
