schoolName,email
"L.L.MANDIR SCHOOL (ENG.MED)","llmandirschool@gmail.com"
"MODI SCHOOL(GUJ.MED.)","modischoolambika@gmail.com"
"SHREE MAHATMA GANDHI SCHOOL(ENG.MED.)","principal.mgschool@gmail.com"
"THE ROYAL SCHOOL","theroyalschool17@gmail.com"
"ALPHA PRIMARY SCHOOL","alfaprimaryschool@gmail.com"
"BAJRANG VIDHIYAMANDIR","bajrangschool2018@gmail.com"
"DEEP VIDHYALAY","vikasvidhyalay2013@gmail.com"
"SHREE NAVYUG PRIMARY SCHOOL","navyug.school.2012@gmail.com"
"SHRI H K SHETH PRI SCHOOL (GUJ MED)","hkshethprimaryschool@gmail.com"
"SHREE NAVYUG HIGH SCHOOL","j_jalu@yahoo.com"
"SWAMI VIVEKANAND VIDHYAMANDIR","shreeswamivmandir.pri@gmail.com"
"SARASVATI PRATHMIK VIDHYA MANDIR","rdeosvmbavathorala@gmail.com"
"NOBAL VIDHYALAY","nobelschoolra@gmail.com"
"JAY VIJAY VIDHYA MANDIR","manish163.mc@gmail.com"
"DR.HOMI JEHANGIR BHABHA ENGLISH MEDIUM SCHOOL","rajkotmsbht78@gmail.com"
"GNANODAY SAIKSHANIK SANKUL","gnanodayschool@gmail.com"
"SHRI J M P PRIMARY SCHOOL ENG MED","vijayd.saraswati@gmail.com"
"THE MOTHER MIRAMBIKA ENG. SCHOOL","srimirambikaschool@gmail.com"
"MIRAMBIKA VIDHAYALAY","hbjadeja59@gmail.com"
"SHREE C S VIRANI DEAF DUMB SCHOOL","virani.dndschool@gmail.com"
"SHREE SWAMINARAYAN GURUKUL VIDHYAMANDIR","principal24091502061@ssguj.in"
"SHREE SHIVAM VIDYALAY","dineshpatel9824@gmail.com"
"TAPOVAN SCHOOL","tapovanschoolrajkot@yahoo.com"
"PATANJALI SCHOOL (HIGHER SEC. GENERAL)","patanjalischools@yahoo.com"
"MANHAR VIJAY S. M. PRATHMIK SHALA","keshavvidyamandir1@gmail.com"
"SHRI PALAV VIDHYADHAM","palavvidhyadham@gmail.com"
"GYANDHARA VIDYAMANDIR(M.S.)","gyandharavidhyamandir@gmail.com"
"SOMNATH SCHOOLS","somnathschools0123@gmail.com"
"N.B.G.MADHYAMIK SCHOOL","psgondalia@gmail.com"
"SHREE SARASWATI SHAIKSHANIK SANKUL","saraswatiparmarth@gmail.com"
"PALAV HIGHER SECONDARY SCHOOL","palavvidhydham@gmail.com"
"SHREE GELMA PRATHMIK SCHOOL","sanjaybhanderi937@gmail.com"
"PREMIER SCHOOLS","schoolspremier@gmail.com"
"AMPLE ENGLISH MEDIUM SCHOOL","novaschoorajkot@gmail.com"
"PATANJALI VIDYALAY","vidyalaypatanjali@gmail.com"
"NOBLE VIDYALAYA","noblevidyalaya@gmail.com"
"SHREE NIRANJAN MADYAMIC SCHOOL","patelprakash862@gmail.com"
"SHREE UDGAM SCHOOL (GUJARATI)","udgamschool9@gmail.com"
"PRINCESS SCHOOL","princessschoolrajkot@gmail.com"
"NEW ERA ENGLISH SCHOOL (SEC AND H.S. ENG MED)","neweraschool2011@gmail.com"
"DHARTI VIDHYALAYA","dharatividhyalay22@gmail.com"
"UNNATI VIDHYALAYA","unnatischool2012@gmail.com"
"BHAVI VIDHYALAYA","darsan.school2013@gmail.com"
"NOORANIYAH ENG. SCHOOL","nooraniyahschool@gmail.com"
"ATRI VIDHAYAMANDIR","atrischool@gmail.com"
"THE DIVINE PRIMARY SCHOOL","thedivineschools@gmail.com"
"PURUSHARTH SHAIKSHANIK SANKUL","purusharthschool@gmail.com"
"NIDHI SCHOOL(ENG.MEDIAM)","nidhischoolrajkot@gmail.com"
"PARISHRAM PRI. SCHOOL","parishramgrouprajkot@gmail.com"
"SHREE DARSHAN VIDYALAY","darshan.school2013@gmail.com"
"NAVJIVAN PR.SCHOOL","navjivan09@gmail.com"
"AKSHAR GYAN MANDIR","aksharschool111@gmail.com"
"GYANDIP VIDYALAY","gyandeepvidhyalay123@gmail.com"
"MADHURAM VIDYALAY","jitendrasitapara2511@gmail.com"
"SARASWATI VIDYALAY","sanjaypjoshii@gmail.com"
"SHREE BHARTI MAHA VIDHYALAYA","lathiya_raj007@yahoo.com"
"SWAMI VIVEKANAND PRI. SCHOOL-RAIYA RAJKOT","swamivivekanandschoolrajkot@gmail.com"
"SHREE SARASWAT VIDHYA NIKETAN","shreesaraswatvidhyaniketan@gmail.com"
"VIVEKANAND VIDHYALAYA","parishrameducation78@gmail.com"
"SHRIEE MADHUVAN HIGH SCHOOL","madhuvanhighschool2023@gmail.com"
"UNNATI HIGH SCHOOL","unnatihighschool2012@gmail.com"
"SAURABH HIGH SCHOOL","saurabhhighschool2012@gmail.com"
"SHREE MOTIBAI HIGH SCHOOL","motibaihighschool25@gmail.com"
"NOVA SCHOOL RAJKOT","novaschoolrajkot@gmail.com"
"SHRI KETAN KANYA VIDHYALAY (HIG.SEC.)","skkv123456@gmail.com"
"DARSHAN SCHOOL","karamatanikunj12@gmail.com"
"VISHVA JYOT VIDYALAYA-RAJKOT","viswajyotvidyalaya1983@gmail.com"
"PATHAK ENGLISH MEDIUM SCHOOL","pathakenglishmediumschool1@gmail.com"
"UNNATI SCHOOL(ENGLISH)","unnatischool2016@gmail.com"
"SANT GARGY SEC. AND HIGH. SEC. SCHOOL","saintgargy@gmail.com"
"ADITYA PRIMARY SCHOOL","aadityaprimaryschool@gmail.com"
"SHAMS VIDHYALAYA","shamsschools.3233@gmail.com"
"SATYA PRAKASH VIDHYA SANKUL","svschool.rmk@gmail.com"
"SATYARTH VIDHYAMANDIR","principal24091500217@ssguj.in"
"SATYA PRAKASH ENGLISH MED SCHOOL","svn.mmk@gmail.com"
"KALYAN HIGH SCHOOL(H.S.)","kalyanhighschool123@gmail.com"
"SHARADA VIDHAYALAYA","shardavidhayalaya@gmail.com"
"SHREYANSH MADHYAMIK SHALA","shreyanshschool@gmail.com"
"SHAMS MADHYAMIK SHALA","shamsschools3233@gmail.com"
"JALARAM HIGH SCHOOL (NON-GRANTED)","jalaramhighschool111@gmail.com"
"SATYA PRAKASH MADHYAMIK SHALA","shreesatyaprakashschool@in.com"
"ANNPURNA VIDHYALAY","navjivanschool09@gmail.com"
"SHREE NIJANAND HIGH SCHOOL","bhavanalidiya@gmail.com"
"SANSKARDHAM KANYA VIDYALAYA (H.S.)","sanskardhamkanyavidhyalay@gmail.com"
"FUNLAND ENGLISH MEDIUM SCHOOL","funlandems@gmail.com"
"GANDHI GYAN MANDIR PRI SCHOOL","ggmmsr@gmail.com"
"SWAMI SHANTI PRAKASH PRI. SCHOOL","shantiprakashschoolrajkot@gmail.com"
"MATRU DARSHAN SCHOOL","matrulaxmi1971@gmail.com"
"AARSH VIDHYA MANDIR","aarshvidhyamandir1@gmail.com"
"SARSVATI PRI. VIDHAMANDIR","saraswatividhyamandir2019@gmail.com"
"ANAND VIDHALAY PRI. SCHOOL","jsvmsrjt@gmail.com"
"PARTH PRI. SCHOOL","trivedivinay6@gmail.com"
"SHIVKUNJ VIDYAMANDIR","shivkunjrajkot@gmail.com"
"KAPINJAL HIGH SCHOOL (H. S.)","kapinjalschool.rajkot@gmail.com"
"SUNRISE SCHOOL","sunriseschool8281@gmail.com"
"SHRI NATHJI SHAIKSHANIK SANKUL(SEC HIG SEC)","shrinathjisecondaryschool@gmail.com"
"RAJ PRI. SCHOOL","rajensindhav17325@gmail.com"
"SURBHI VIDHAYALAY","vidhyalaysurbhi@gmail.com"
"I.P.MISSION PR.SCHOOL","ipmissionschool@gmail.com"
"RAJ VIDHYAMANDIR","shri.raj.vidhyamandir@gmail.com"
