schoolName,email
"SHRI RAJMANDIR COMPUTER VIDHYALAY","rajmandirvidhyalay@gmail.com"
"PATANJALI VIDHYALAYA","patanjalividyalay@yahoo.in"
"PATANJALI PATHSHALA","patanjalipathsala@yahoo.com"
"SHRI V L HIGH SCHOOL","shreevlhighschool@gmail.com"
"LATE K R HIGH SCHOOL","latekrhighschool@gmail.com"
"PANINI SCIENCE SCHOOL","paniniscience@yahoo.com"
"KANTA SHRIVIKAS PRI SCHOOL","kantastrivikasgruh@gmail.com"
"SHRI C.K.G.PRIMARY SCHOOL","ckgprimaryschool@gmail.com"
"SADBHAVNA PRI. SCHOOL","avadhschools@gmail.com"
"KASTURBA VIDHIYALAY PRI. VIBHAG","kasturba@123gmail.com"
"SHRI SAGAR MADHYAMIK&UCC.MADHY. SHALA","info.saraswatiins@gmail.com"
"SHREE SHUBHAM PRIMARY SCHOOL","shubhamschool99@gmail.com"
"OM VIDHYALAY MADHYAMIK SHALA","chintangiri92@gmail.com"
"SHANTINIKETAN VIDHYAMANDIR","akshareducation2009@gmail.com"
"SHRI VALLABH KANYA VIDHYALAYA (H S)","vkkmscienceschool@gmail.com"
"SHRI SWAMINARAYAN GURUKUL PRATHMIK SHALA","rajguruprimary@gmail.com"
"SHUBHAM UCHCHTAR MADHYAMIK SHALA","shubhamschools99@gmail.com"
"DISCOVER PUBLIC SCHOOL","discoverdsp@gmail.com"
"VRAJBHOOMI PUBLIC SCHOOL","vrajbhoomi.bkt@gmail.com"
"SHRI NYALKARAN VIDHYAMANDIR","dharmesh1gadhiya@gmail.com"
"SHREE ANJALI VIDHAYALAYA","anjalividhyamandir1998@gmail.com"
"SHREE V.D. PAREKH ANDH MAHILA VIKASGRUH","amvgraj@gmail.com"
"KAVI SHRI NARMAD ENGLISH MEDIUM PRI. SCHOOL","kavishrinarmadschool79@gmail.com"
"SHREE SWAMINARAYAN GURUKUL VIDYALAYA","gurukulscicom@gmail.com"
"SHREE SWASHRAY PRIMARY SCHOOL","omvidhyalayschools@gmail.com"
"SHRI VIPUL VIDHYALAYA","vipulvidhyalay1to8@gmail.com"
"SHREE SHUBHAM ENGLISH MEDIUM SCHOOLS","shubhamschool@gmail.com"
"SHRADDHA VIDHAYALAY ENG.","shraddha.inst4edu@gmail.com"
"SHRI KANAKAI VIDHYAMANDIR","kankaividhyamandir@gmail.com"
"CHIRAG VIDHYALAY","atulbavaliya007@gmail.com"
"BALKRUSNA VIDHAYAMANDIR","balkrushnaprimaryschool@gmail.com"
"A. V. JASANI VIDYAYAMANDIR GUJ. MEDIUM","avjvmgujmed@gmail.com"
"A V JASANI VIDYAMANDIR ENG.","avjvmeng@gmail.com"
"SHRI MADHAV VIDHYALAYA","madhavvidyalay@gmail.com"
"MATUSRI L. G. DHOLAKIYA HIGH SCHOOL","matushreelgdholakiya@gmail.com"
"PANCHSHIL PRIMARY SCHOOL ENGLISH MEDIUM","panchshilschool2011@gmail.com"
"SHREE SANTINIKETAN VIDHYAMANDIR","rahevar.school@gmail.com"
"SHREE SHRADDHA MADHYAMIK VIDYALAYA","shradhdha.inst4edu@gmail.com"
"AMRUT VIDHAYAMANDIR PRI. SCHOOL","amrutvidyamandir@gmail.com"
"SHRI K. N. RAHEVAR HIGHER SECONDARY SCHOOL","rahevar.school@yahoo.com"
"SARVODAY KANYA VIDHYALAYA","sarvoday.school530@yahoo.co.in"
"VISION ENGLISH SCHOOL","admin@visionschools.in"
"SHREE KANYA VIDHYALAY (SEC.)","kcrajkot10@gmail.com"
"SARVODAYA SCHOOL","sarvodaya.school.530@gmail.com"
"SHREE GAJANAND VIDHYALAY","gajanandvidyalay@gmail.com"
"SAGAR PRIMARY SCHOOL","yogiraj.jadeja20@gmail.com"
"UPVAN VIDHYAMANDIR","upavanschool@gmail.com"
"GAURAV PRI.SCHOOL","gauravprashala.99@gmail.com"
"GYANSARITA PRIMARY SCHOOL","cklunagariya15@gmail.com"
"KRUSNA VIDHYALAY","shrikrushnaschool25@gmail.com"
"ANKUR VIDHYALAY","ankurvidhyalaya1989@gmail.com"
"GANANJYOT VIDHYALAY","gyanjyot.rjt09@gmail.com"
"TAKSHASHILA VIDHYALAY","takshashilavidhyalay@gmail.com"
"PARTH VIDHYALAY","parthvidhyalay@gmail.com"
"MADHUVAN SHAIKSHANIK SANKUL","madhuvanssmadhuramss@gmail.com"
"SHREE VASUDEV VIDYALAY","vasudevschool96@gmail.com"
"SHREE KILLOLSHAIKSHANIK SANKUL","shreekillol@gmail.com"
"SHRI AVADH VIDHYAMANDIR","avdhvidyalay2005@gmail.com"
"THE LOTUS ENGLISH SCHOOL","palavschools216@gmail.com"
"SHREE SANSKRUTI VIDYAMANDIR","sanskrutividhyamandir@gmail.com"
"BRILLIANT MADHAYMIK AND UCHCHATAR MADHAYMIK SHALA","brilliantschool456@gmail.com"
"THE LOTUS SCHOOL (SECONDARY)","lotus.school@gmail.com"
"VISION UCC. MADHYAMIK SHALA","visionschool13@gmail.com"
"VISION MADHYAMIK SHALA","visionschool132@gmail.com"
"TAPAN SEC. & HIG.SEC. SCHOOL","tapanschool@gmail.com"
"PATANJALI SCHOOL (HIGHER SEC. SCIENCE)","pantanjalischools@yahoo.com"
"PATANJALI SCHOOL","patanjalischools@gmail.com"
"SUNRISE ENGLISH SCHOOL","sunriseschoolsec@gmail.com"
"SHREE SARDAR BOOLAKA BHAVAN PRIMARY SCHOOL","sardarboolakabhavanschool@gmail.com"
"ARYA VIDYAPITH","surajsinh.biz@gmail.com"
"DARSHAN ENGLISH MEDIUM SCHOOL","prabhudarshanschool@gmail.com"
"CHANAKYA SCHOOL","chanakyaschool25@gmail.com"
"NANDKISHOR VIDHYAMANDIR","nandkishorvidhyamandir@gmail.com"
"SHREE R T A HIGH SCHOOL","rmk.vidhyalay@gmail.com"
"JIVAN JYOT MADHYAMIK SCHOOL","jivanjyotschool64@gmail.com"
"YOGI VIDHYALAY PRI. SCHOOL","happyplayhouse@gmail.com"
"NALANDA VIDHAYAMANDIR","nalanda_school@yahoo.co.in"
"SHREYAS VIDHAYALAY","shreyasvidhyalay9@gmail.com"
"NAVCHETAN VIDHY MANDIR","school.navchetan@gmail.com"
"SAMARPAN VIDHAYALAY","samarpan.school02@gmail.com"
"SIPRA THE EDUCATION FOUNDATION","sipraschool@gmail.com"
"KAILAS VIDYALAY","kailasvidhyalay@gmail.com"
"SUNLIGHT ENGLISH SCHOOL","sunlightschool76@gmail.com"
"MADHUVAN SCHOOL","madhuvanssmadhuvanss@gmail.com"
"KESHAV VIDHYA MANDIR","keshavvidhyamandir1@gmail.com"
"HARI OM VIDHYALAY","hariomschool30@gmail.com"
"PARTH VIDHAYALAY","parthvidhyalayrajkot@gmail.com"
"TEJASWI VIDHAYALAY","psgondaliaclia@gmail.com"
"KARMA JYOT VIDHYALAY","bmahir898@gmail.com"
"TAKSHASHILA VIDHAYALAY","takshashilavidhyalaya@gmail.com"
"PARASH VIDHAYALAY","principal24091502323@ssguj.in"
"GYANGANGA H.S. SCHOOL","gyanganga8693@gmail.com"
"SHREE SATYAPRAKASH PRI.SCHOOL(ENG.MED.)","shrisadbhavnaedu@gmail.com"
"SHRI GYANDIP SHAIKSHANIK SANKUL","gyandeepsankul@gmail.com"
"SHREE KAILAS VIDHYAMANDIR","kailasvidyamandir@gmail.com"
"SHRI PALAV SECONDARY SCHOOL","palavvidyadham@gmail.com"
"NIKUNJ VIDHYALAY","manoharnikunjrajkot@gmail.com"
"SHRI KAILAS VIDYANIKETAN","kailasvidyaniketan@gmail.com"
"SHRI GYANDEEP H.S.SCHOOL","gyanram20@gmail.com"
"SHREEJI PRIMARY SCHOOL","sojitrakalpesh377@gmail.com"
