schoolName,email
"SHRI SANDHIPANI UCHHATAR MASHYAMIK SHALA","sandipani2014@gmail.com"
"VIKAS VIDHYALAY VERAVAL","vikasvidhyalay327@gmail.com"
"SHREE VEDANT ENG MED SCHOOL VERAVAL","bhavinkumar.titiya@gmail.com"
"SUNRISE EDUCATION ACADEMY VERAVAL","shreesanskarschool17@gmail.com"
"GYAN JYOT PRI. SCHOOL","gyanjyotvidhyalay2@gmail.com"
"GREENWOOD INTERNATIONAL SCHOOL","admin@greenwoodschool.in"
"RAINBOW SCHOOL ENGLISH MEDIUM","rainbowschool18@gmail.com"
"JAY INTERNATIONAL SCHOOL","jisrajkot@gmail.com"
"SHREE ANTRIKSH GYANPITH ENGLISH MEDIUM","antrikshgyanpith2015@gmail.com"
"PODAR INTERNATIONAL SCHOOL","admin.rajkot@podar.org"
"DELHI WORLD PUBLIC SCHOOL","info@dwpsrajkot.org"
"SHREE NATIONAL MADHYAMIK SHALA","bkiritl52580@gmail.com"
"SHREE DHARMAJIVAN VIDHYAMANDIR","dharmjivanschool@gmail.com"
"SHREE GYANMANDIR UCHCHATAR MADHYAMIK SCHOOL","gyanmandirschool6875@gmail.com"
"MARUTI SCIENCE ACADEMY","marutiss2014@gmail.com"
"PATHAK PUBLIC SCHOOL SECONDARY AND HIGHER SECONDARY GUJARATI MEDIUM","ppsmetoda@gmail.com"
"KALRAV VIDHYALAYA MADHYAMIK SHALA","kalravvidhyalay@gmail.com"
"SHREE PANCHAVATI VIDHYALAY","raseshpatel1010@gmail.com"
"SHREE SWAMINARAYAN VIDHYALAY","shreesnv3305@gmail.com"
"GANGOTRI VIDHALAYA METODA","gangotrividhyalayametoda@gmail.com"
"SHREE J.M LAKKAD VIDHYALAYA","jmlakkadvidhyalay@gmail.com"
"MAHARISHI VISHWA VIDYA MANDIR","lsavaliya991@gmail.com"
"ATOM PUBLIC SCHOOL","rsorathiya70@gmail.com"
"SARVODAY SECONDARY SCHOOL (ENG.MED.)","secondary.pal@sarvodayaschool.com"
"SAMARPAN VIDHYALAY ENGLISH MEDIUM","pathakschoolingsystemmetoda@gmail.com"
"SARVODAY HIGHER SECONDARY SCHOOL","sarvodaya.school530@gmail.com"
"JAY VIDHYALAY","jayvidyalay@gmail.com"
"LOTUS PRIMARY SCHOOL - PADDHARI","lotus.schools@gmail.com"
"BHAARTIYA VIDHYALAY","bhartiyaschool86@gmail.com"
"MODI SCHOOL-ISHWARIYA (ENG MED)","modischooli@gmail.com"
"MODI SCHOOL-ISHWARIYA (CBSE)","modischoolcbse@gmail.com"
"INNOVATIVE INTERNATIONAL SCHOOL","principal@innovativeinternationalschool.com"
"SARDAR PATEL ENGLISH MEDIUM SCHOOL","rdgardinyara@gmail.com"
"SOS PRIMARY SCHOOL KHAMBHALA","soskhambhala@gmail.com"
"SHRI M.J.M. PRIMARY SCHOOL - KHAMATA","mjmalanitrustkhamta@gmail.com"
"SHREE UMA GYANYAGN VIDYAPITH","rampar@sgrs.school"
"NAVYUG SHAIKSHANIK SANKUL","navyugschool2009@gmail.com"
"DR. DEEPCHAND GARDI INT. SCHOOL","dgischool@gmail.com"
"GYANDIP VIDHYALAY PRATHMIK SHALA","pcpaddhari@gmail.com"
"TAPOVAN PRI. SCHOOL","tapovanschool@gmail.com"
"MATRUSHRI J.V.DOSHI SARASWATI SHISHUMANDIR","jvdoshishishumandir@gmail.com"
"RIDDHI SIDDHI SCHOOL","rridhdhisidhdhi@gmail.com"
"SHRI SATYAM SHAIKSHANIK SANKUL","satyamschool7@gmail.com"
"CRYSTAL PUBLIC SCHOOL","crystalpublicschool.paddhari@gmail.com"
"CRYSTAL PUBLIC SCHOOL (ENG MED)","crystalpublicschoolpaddhari@gmail.com"
"VAKHATBEN VIDHYALAY","vakhatbenvidhyalay@gmail.com"
"SITARAM DARBAR PRA. SHALA","newveera.sitaram@gmail.com"
"UMA KUMAR PRI. SCHOOL","umasankul@gmail.com"
"THE GALAXY SCHOOL WADI","varsha.rana@tges.org"
"SHRI M.J.M. VIDHYALAYA","mjmkhamata@gmail.com"
"RAJKOT INTERNATIONAL SCHOOL","rajkotinternationalschool@gmail.com"
"ANAND PRIMARY SCHOOL","shreeaanandprathmikshala@gmail.com"
"SHREE MADHAVI VIDHYALAY","madhavividyalay@gmail.com"
"SARASWATI VIDHYAMANDIR","kdbagtharia@gmail.com"
"GYANDEEP VIDHYAMANDIR","suppergraphics99@gmail.com"
"SHRI GOKUL VIDHYALAY","gokulvidhyalay@gmail.com"
"EKLAVYA VIDHYA MANDIR","prashantratanpar@gmail.com"
"GYANDHARA","dineshamber14@gmail.com"
"SHREE SHIVAM VIDHYALAY","shreeshivamvidhyalaya2015@gmail.com"
"NOBLE EDUCATION SANKUL","nobleschoolkalipat@gmail.com"
"KRISHNA INTERNATIONAL HIGH SCHOOL(GUJARATI MED.)","mital.krishnaschools@gmail.com"
"KRISHNA INTERNATIONAL SCHOOL","svis.principal@gmail.com"
"GREEN FARM ENG SCHOOL","greenfarmhighschool@gmail.com"
"SHREE G. K. BHARAD HIGHER SECONDARY SCH","bharadschool2008@gmail.com"
"SHREE SARASWATI VIDHYALAY","shrisaraswatividhyalay1@gmail.com"
"POPULAR HIGH SCHOOL","populareducationzone@gmail.com"
"SHRI SIMANDHAR VIDYA SANKUL (PRIMARY)","principal24091103812@ssguj.in"
"RADHIKA SCHOOL ENG MEDIUM (UPPER PRIMARY)","radhikaschool912@gmail.com"
"SHRI VINAY MANDIR VIDHYA SANKUL","shrivinaymandir@gmail.com"
"SHREE G.K.BHARAD VIDHYA MANDIR ENG. MED.","principal_eng@bharadschools.org"
"THE NORTHSTAR SCHOOL","admin@northstar.edu.in"
"SHREE NAGBAI VIDHYAMANDIR","satishprjapati1987@gmail.com"
"TAKSHSHILA VIDHYALAY","vyaskaushikn@gmai.com"
"SHREE SARDAR VIDHYALAYA","sardar1029@gmail.com"
"ALFA ENGLISH SCHOOL","school.alfa@gmail.com"
"SUNFLOWER SCHOOL","sunflowerkuvadva@gmail.com"
"SHREE RAMKRUSHNA SEC - HIGH SEC SCH","thedreamlandins@gmail.com"
"SHREE BHAGYODAY VIDYA MANDIR","bhagyodayvidhyamandiragmakwana@gmail.com"
"SHREE NILRAJ HIGH SCHOOL","nilrajschool@gmail.com"
"SARASWATI VIDHYAMANDIR","saraswatischool1@gmail.com"
"RAJMANDIR PRIMARY SCHOOL","nitinvora8771@gmail.com"
"DR. SUBHASH KANYA VIDHYALAY","subhashkanyavidyalay@gmail.com"
"DIVINE SCHOOL","divineschoolranpur@gmail.com"
"THE WEST WOOD SCHOOL","info@thewestwoodschool.co.in"
"VIKAS VIDHYALAY","principal24091108206@ssguj.in"
"SHREE SAURASHTRA PATEL VIDHYA BHAVAN","spssardhar1998@gmail.com"
"CHANAKYA VIDHYALAY","principal24091108209@ssguj.in"
"SARASWATI PRI SCHOOL","principal24091108210@ssguj.in"
"SHREE VIVEKANAND VIDHAYALAY","vivekanandsardhar.rajkot@gmail.com"
"UCHCHTAR MADH SHALA","principal24091108214@ssguj.in"
"TAPOVAN SCHOOL","tapovanschools@gmail.com"
"LITTLE ANGEL ENGLISH MEDIUM SCHOOL","gjpatel99@gmail.com"
"SAHAJANAND VIDHYA SANKUL","principal24091108218@ssguj.in"
"J. P. ENGLISH MED SCHOOL","jpenglishmediumschool@gmail.com"
"SHRI ASHUTOSH VIDHYA MANDIR","kugashiyaprabhat15@gmail.com"
"SRI SRI ACADEMY","info@srisriacademy.org"
"ARPIT PRIMARY SCHOOL","arpitschool@gmail.com"
"RIVERSIDE INTERNATIONAL SCHOOL ENG MED","riversideinternationalschool@gmail.com"
"SHREE SHREEJI SCHOOL","shreejischool7@gmail.com"
"VINAY VIDHIYA MANDIR ANANDPAR","vinayvidhyamandir.rjt@gmail.com"
