schoolName,email
"OM SATYSAI PRI. SCHOOL","satyasaischool41@gmail.com"
"SHREE KRISHNA MADHYAMIK SHALA","krishnaschool41@gmail.com"
"SHREE GYANMANDIR VIDHYALAYA","ashwinsankaliya55@gmail.com"
"SHREE UMIYA VIDYA MANDIR","umiyaschool@gmail.com"
"HARI PRIMARY SECONDARY & HIGHER SEC SCHOOL","shrihari.botad@gmail.com"
"LATE R L MAKWANA HIGH SCHOOL","shreensmakwanaschool@gmail.com"
"MURLIDHAR PRIMARY SCHOOL","murlidhar.prischool@gmail.com"
"OMKAR ENGLISH MED.SCHOOL","omkar08school@gmail.com"
"SANSKAR VIDYALAY HIGH SCHOOL","sanskarschool06@gmail.com"
"SHREE SARASWATI SHISHUMANDIR-VINCHHIYA","sarasvati753@gmail.com"
"NAVVIDHAN RURAL ENGLISH SCHOOL","navvidhanruralschool@yahoo.com"
"OMKAR VIDYA MANDIR","omkarvidyamandir92@gmail.com"
"LITTLE PRINCE ENGLISH MEDIUM SCHOOL-MODHUKA","littleprince.nil@gmail.com"
"GYAN BHARTI VIDHYA MANDIR-JANADA","gyanbhartividyasankul@gmail.com"
