schoolName,email
"SHREE SARVESWAR MADHYA SHALA","sarveshwarschool@yahoo.in"
"SHREE A. G. DEV SEC. & HIGH SEC. SCHOOL","shreeagdev007@gmail.com"
"SANT SHREE ASHARAMJI PUBLIC SCHOOL (PRI)","ssaomguru333@gmail.com"
"AAL MADRASA TUS SAIFIYA TUL BURHANIYAH","rajkot@msbinstitute.com"
"ARPIT INTERNATIONAL SCHOOL","aiscbserajkot@gmail.com"
"J. P. SECONDARY SCHOOL","jpsecondaryschool@gmail.com"
"SANSKAR LAXMI GYAN MANDIR HIGHER SECONDARY","sgm.maliyansan@gmail.com"
"TAPASVI INTERNATIONAL SCHOOL","amish_desai2008@yahoo.com"
"SHREE SWAMINARAYAN GURUKUL PRATHMIKSHALA","school.tramba@sgrs.org"
"JAY YOGESHVAR VIDHYALAY","jayyogeshvarmadhyamikshala@gamil.com"
"RAM KRISHNA VIDHYALAY","shriramkrushnavidhyalay@gmail.com"
"SHREE K. G. DHOLAKIYA SCHOOL","narendrameva108@gmail.com"
"BHARTIYA PRIMARY SCHOOL","bharatiyavidhyalaya@gmail.com"
"ST.XAVIERS SCHOOL","stxaviersrajkot@gmail.com"
"SHRI ATMIYA SHISHU VIDHYA MANDIR-CBSE","principal.cbse@atmiyaschool.com"
"J.V. VIDHYALAYA(PRIMARY)","jvvidhyalay@gmail.com"
"SMT.K.K DHOLAKIYA SCHOOL(GUJARATI)","smt.kkdholakiya@gmail.com"
"SUNFLOWER ENGLISH SCHOOL","sunf.sv@gmail.com"
"SATYA PRAKASH PRIMARY SCHOOL","spschool@in.com"
"SHREE BANDHULILA PUBLIC SCHOOL","bhavna.gondaliya@gmail.com"
"NEW SHRYAS VIDHYALAY","newshreyasvidyalaya2004@gmail.com"
"CRYSTAL ENGLISH SCHOOL","crystalschools03@gmail.com"
"COSMIC VIDHYA SANKUL","cosmic7997@gmail.com"
"SAHJANAND PRIMARY SCHOOL","virendrasinhjadeja606@gmail.com"
"OMSHREYKAR VIDHYALAYA","omshreaykarvidhalay-117@gmail.com"
"HOLY REDEEMER HIGH SCHOOL GUJARATI MEDIUM","holyredeemerguj@gmail.com"
"HOLY REDEEMER HIGH SCHOOL ENGLISH MEDIUM","holyredeemereng@gmail.com"
"GURU BHAKTI SHAI SANKUL","gurubhaktisecondary2@gmail.com"
"GREGORIAN PUBLIC SCHOOL","gregorianpublicschool@gmail.com"
"GENIUS ENGLISH MEDIUM SCHOOL","geniusschoolrajkot2001@gmail.com"
"SHRI PRAGTESHWAR PRATHMIK SHALA","pragteshwarschool.3265@gmail.com"
"MAHAN HIGH SCHOOL - RAJKOT","masoom1960@gmail.com"
"R B VIDHYALAY","rbschool001@gmail.com"
"SHREE GYANDEEP VIDHYA MANDIR","gyandeep.viddyamandir@gmail.com"
"THE DIVYATEJ VIDHYALAY","tdessystem@gmail.com"
"OM SAI HIGHER SECONDARY SCHOOL","omsaischool145@gmail.com"
"MATRUSHRI VIDHYA MANDIR","matushreevidhya12@gmail.com"
"YOGESHWAR VIDHYALAY","yogeshwarvidhyalaya@gmail.com"
"PARTH VIDHIYA MANDIR","parthschools@yahoo.com"
"SHREE RANUJA PRIMARY SCHOOL","ranujapra.school@gmail.com"
"JIVANDHARA PRIMARY SCHOOL","jitubhaiasod72@gmail.com"
"JENI VIDHYALAY","jenyschools@gmail.com"
