schoolName,email
"SATYAM VIDYALAY","satyamvidhyalay16@gmail.com"
"INNOVATIVE SCHOOL GUJARATI","info@innovativeschools.in"
"JIVAN SHANTI MADHYAMIK SCHOOL","jivanshantis@gmail.com"
"NAVSHAKTI VIDHYALAY SPECIAL","navshaktirajkot@gmail.com"
"LORDS SCHOOL ","sahjanandvidhyalaya@gmail.com"
"H M SINHAR SECONDARY SCHOOL","gg.rajkot@gmail.com"
"SHREE SWASTIK GIRLS HIGH SCHOOL","swastikgirlshighschool@gmail.com"
"SHRI V J MODI HIGH. SEC. SCHOOL (SCI-ENG)","modischoolsarham@gmail.com"
"VIDHYA NIKETAN PRI. AND SEC.","vns02@rediffmail.com"
"SHRI SWASTIK SCHOOL OF SCIENCE","swastikschoolofscience@gmail.com"
"TAPASVI SCHOOL (ENG MED)","tapasvischool2j@gmail.com"
"SHRI CHANAKYA MADHYAMIK SHALA","chanakyamadhyamikshala@yahoo.com.in"
"SAROJBEN MEMORIAL OPPORTUNITY SCHOOL","neeraj.bhatt@tges.org"
"MANDIR HIGH SCHOOL","mandirschool@gmail.com"
"T.N.RAO SCHOOL ","principal.tnrs@gmail.com"
"SHREE JAY SOMNATH PRIMARY SCHOOL","somadi619@gmail.com"
"SHRI GYANGANGA PRIMARY SCHOOL","pareshshapariya@gmail.com"
"SISTER NIVEDITA MAD. & UCCH.MAD.SHALA","sisterniveditatrust@yahoo.com"
"SHRI GYAN SAURABH MADHYAMIK SHALA","gyansaurabhschool99@gmail.com"
"PARISHRAM PRIMARY SCHOOL ENGLISH","parishramschool@gmail.com"
"SMT. S K PATHAK SEC. & HIG. SECONDARY SCHOOL","osem.pathakschool@gmail.com"
"JYOTI VIDHAYALAY","jyotividyalay@gmail.com"
"SHRI MAHATMA GANDHI MADHYAMIK SHALA","mahatmagandhischool@gmail.com"
"PARIMAL HIGH SCHOOL","parimalschool@gmail.com"
"SHREE ATMIYA SHISHU VIDYAMANDIR (ENG. MED.)","asvm.yogidham@gmail.com"
"SIMRAN PRATHMIK SHALA","brkeshap@gmail.com"
"SHREE HARIDARSHAN VIDYA SANKUL","shreeharidarshan@gmail.com"
"VIDYA AARADHNA SCHOOL","vidhya.school@gmail.com"
"A.B.C. PR.SCHOOL","abcschool24@yahoo.com"
"DHARMA BHAKTI VIDHALAY","smitlimbasiya7486@gmail.com"
"SHRI SATKAR MADHYAMIK SHALA","satkarschoolrjt@gmail.com"
"ABHISHEK PRI. SCHOOL","abhishekshala@gmail.com"
"GYAN SADHANA VIDHYA DHAM","gyansadhanavidyadham@gmail.com"
"KANAK HIGH SCHOOL","arvieducation@gmail.com"
"SHREE J.S.PAREKH PRIMARY SCHOOL","svvp.edu@gmail.com"
"SANDIPANI SCHOOL (SEC AND HIGH. SEC.)","sandipanischool1996@gmail.com"
"SHREE SARVESHWAR VIDYAMANDIR (ENG. MED.)","sarveshwar.yogidham@gmail.com"
"SHRI GYAN GUNJAN VIDHYALAY","principal24091501343@ssguj.in"
"JAY KISHAN SCHOOL","jaykishanschool@gmal.com"
"SHREE KRISHNA PRI. & SEC. SCHOOL","krishnaedu@outlook.com"
"SHRI DEEPDARSHAN VIDYAMANDIR","deepdarshanvm@gmail.com"
"SHREE TRINETRA VIDHYALAY","trinetravidhyalay@gmail.com"
"SHRI MAHATMA GANDHI SCIENCE SCHOOL","mgscienceschool@gmail.com"
"SHRI MAHATMA GANDHI UCHHATAR MA.SHALA","mahatmagandhischool@yahoo.com"
"SHREE GOKUL VIDHYALAY","shreegokulvidhyalay1920@gmail.com"
"MANSHI VIDHYALAY","bhimani.school1234@gmail.com"
"SHRI SWATI PRA.SCHOOL","swatischool4@gmail.com"
"SNSD SCHOOL","snsdschoolrajkot@gmail.com"
"SAMARPANVIDYALAY","shreesaraswatividhyaniketan@gmail.com"
"SARDAR PATEL GYAN MANDIR-RAJKOT","sardarpatelvidhyamandir@gmail.com"
"SKP SCHOOL","pranamischool@yahoo.in"
"SHRI SAMOZAD VIDHYA MANDIR","samozadschool@gmail.com"
"NESHANAL PRATHMIK SHALA","neshanalschool@gmail.com"
"RAJKOT PUBLIC SCHOOL","principal@rajkotpublicschool.org"
"SHREE SUNMOON ENGLISH SCHOOL","vaibhavradadiya007@gmail.com"
"SHRI UNIVERSAL PRATHMIK SHALA","universalschool123@gmail.com"
"KAVERI VIDHYALAY","kaveriorientalschool8866@gmail.com"
"LITTLE STAR PRIMARY SCHOOL","parimalschol@gmail.com"
"NACHIKETA SCHOOLING SYSTEM","nssytmrajkot@gmail.com"
"SHREE TAGOR VIDHIYALAY","tagorschool1981@gmail.com"
"SARASWATI PR.SCHOOL","saraswatischool5050@gmail.com"
"KARMAYOGI ENGLISH PR.SCHOOL","vandematramhighschool@gmail.com"
"SHREE GITA PRATHMIK SHALA","gitaprathmikshala@gmail.com"
"ULTRA SECONDARY & HIGHER SEC SCHOOL","ussgujarat@gmail.com"
"SHRI LITTLE STAR PRIMARY SCHOOL","littlestarschool96@gmail.com"
"VANDEMATARAM PRATHMIK SHALA, RAJKOT","principal24091501424@ssguj.in"
"BAHUCHAR VIDHYALAY","principal24091501427@ssguj.in"
"SANSKAR LAXMI GHYAN VIDYAMANDIR","sanskarlaxmischool@gmail.com"
"MATUSHRI RADHABAI BECHARBHAI AKABARI PRI.SCHOOL","radhabaischool@gmail.com"
"GAUTAM VIDYA VIHAR","gautamschool21@gmail.com"
"SHREE AMBIKA VIDHYALAY GUJARATI","shreeambicaschool123@gmail.com"
"SHRI AMBICA HIGH.SEC.SCHOOL","principal24091501520@ssguj.in"
"SHEFARD VIDHYALAY","shefardvidhyalay1984@gmail.com"
"JAY YOGESHVAR MADHYAMIK SHALA","jayyogeshvarmadhyamikshala@gmail.com"
"SHREE AMARNATH VIDHYAMANDIR","amarnathvidhyamandir@gmail.com"
"SHREE KRISHNA VIDHYALAY","krishnavidhyalayrajkot@gmail.com"
"SHREE MADHAVRAY VIDHYAMANDIR","madhavrayschools@gmail.com"
"SHREE KHODIYAR HIGHER SEC SCHOOL","khodiyar_uchhmadhyamikshala@yahoo.com"
"SHREE KHODIYAR VIDHYALAYA","khodiyarvidhyalaya@gmail.com"
"SANDIPANI ENGLISH SCHOOL","sandipani_school@yahoo.com"
"SHREE SHARDA VIDHYALAY","shardagaytrividhyalay@gmail.com"
"BUNYAD PR.SCHOOL","buniyadprischool@gmail.com"
"SARVODAY PR.SCHOOL","sarvodayprischool@gmail.com"
"SHREE GOKUL VIDHYALAY","shrigokulvidh@gmail.com"
"SANSKAR SCHOOL","sanskarschool3@gmail.com"
"TAXSHEELA VIDHYA MANDIR","takshashilavidyamandir@gmail.com"
"VIDHYANJALI VIDHYALAY","vidhyanjalividhyalay@yahoo.com"
"ALLMIGHTY SCHOOL","almightyenglishschool@gmail.com"
"BUNIYAD HIGHER SECONDARY SCHOOL","buniyadsecandhighsecschool@gmail.com"
"NUTAN KANYA PRIMARY SCHOOL","nutanprathmikkanyavidyalay@gmail.com"
"SHREE SANDIPANI VIDHYALAY (HIGH SCHOOL)","sandipanischool@yahoo.com"
"SHREE VANINIKETA VIDHYAMANDIR","vaniniketaschool@gmail.com"
"SHREE GAYATRI HIGHSCHOOL","gayatri_highschool@yahoo.com"
"RAGHUVIR PRATHMIK SHALA","raghuvirprathmiksala@gmail.com"
"TRIMURTI VIDHYALAY","trimurtividhyalay123@gmail.com"
"GRACE PRIMARY SCHOOL","gracegujaratishala@gmail.com"
"KILLOL PRATHMIK SCHOOL","killolprathmikshala1737@gmail.com"
"MARKAZ PUBLIC SCHOOL","markazrajkot@gmail.com"
"J.V. VIDHYALAYA","jvvidhyalaya@gmail.com"
"SADGURU VIDYALAY","svschools@yahoo.in"
